idRegistration, startTime, idValueType, value
41237, 2026-09-03T19:00:00Z, 8, 13.2
41238, 2026-09-03T19:00:00Z, 8, 11.5
41241, 2026-09-03T19:00:00Z, 8, 67.8
41242, 2026-09-03T19:00:00Z, 8, 7.7
41248, 2026-09-03T19:00:00Z, 8, 18.3
41249, 2026-09-03T19:00:00Z, 8, 65.2
41251, 2026-09-03T19:00:00Z, 8, 14.5
41252, 2026-09-03T19:00:00Z, 8, 12.2
151340, 2026-09-03T19:00:00Z, 8, 102.5
188512, 2026-09-03T19:00:00Z, 8, 15.2
188518, 2026-09-03T19:00:00Z, 8, 7.3
188521, 2026-09-03T19:00:00Z, 8, 8.2
188524, 2026-09-03T19:00:00Z, 8, 75.6
188527, 2026-09-03T19:00:00Z, 8, 7.3
188601, 2026-09-03T19:00:00Z, 8, 19.1
188604, 2026-09-03T19:00:00Z, 8, 14.7
188652, 2026-09-03T19:00:00Z, 8, 1.3
188658, 2026-09-03T19:00:00Z, 8, 3.6
188661, 2026-09-03T19:00:00Z, 8, 3.4
188667, 2026-09-03T19:00:00Z, 8, 94.0
194111, 2026-09-03T19:00:00Z, 8, 13.0
194114, 2026-09-03T19:00:00Z, 8, 17.0
194125, 2026-09-03T19:00:00Z, 8, 8.5
199772, 2026-09-03T19:00:00Z, 8, 53.1
200399, 2026-09-03T19:00:00Z, 8, 66.0
200402, 2026-09-03T19:00:00Z, 8, 113.8
200405, 2026-09-03T19:00:00Z, 8, 390.0
212828, 2026-09-03T19:00:00Z, 8, 16.8
212831, 2026-09-03T19:00:00Z, 8, 15.9
212840, 2026-09-03T19:00:00Z, 8, 5.9
248573, 2026-09-03T19:00:00Z, 8, 76.6
496448, 2026-09-03T19:00:00Z, 8, 151.44
765847, 2026-09-03T19:00:00Z, 8, 82.4
765857, 2026-09-03T19:00:00Z, 8, 6.5
765861, 2026-09-03T19:00:00Z, 8, 3.1
765865, 2026-09-03T19:00:00Z, 8, 4.0
783575, 2026-09-03T19:00:00Z, 8, 9.8
783579, 2026-09-03T19:00:00Z, 8, 13.0
783591, 2026-09-03T19:00:00Z, 8, 6.1
848786, 2026-09-03T19:00:00Z, 8, 67.2
849536, 2026-09-03T19:00:00Z, 8, 13.2
849544, 2026-09-03T19:00:00Z, 8, 18.3
867316, 2026-09-03T19:00:00Z, 8, 1.0
867319, 2026-09-03T19:00:00Z, 8, 6.5
867322, 2026-09-03T19:00:00Z, 8, 1.0
867416, 2026-09-03T19:00:00Z, 8, 6.4
867419, 2026-09-03T19:00:00Z, 8, 3.6
867884, 2026-09-03T19:00:00Z, 8, 6.6
919418, 2026-09-03T19:00:00Z, 8, 39.2
919422, 2026-09-03T19:00:00Z, 8, 43.0
919426, 2026-09-03T19:00:00Z, 8, 9.7
919430, 2026-09-03T19:00:00Z, 8, 29.1
987035, 2026-09-03T19:00:00Z, 8, 6.7
1005645, 2026-09-03T19:00:00Z, 8, 344.0
1020981, 2026-09-03T19:00:00Z, 6, -5003.0
1021177, 2026-09-03T19:00:00Z, 6, -5003.0
1021183, 2026-09-03T19:00:00Z, 6, -5003.0
1022029, 2026-09-03T19:00:00Z, 8, 3.6
1022033, 2026-09-03T19:00:00Z, 8, 3.8
1022058, 2026-09-03T19:00:00Z, 8, 1.3
1022070, 2026-09-03T19:00:00Z, 8, 14.9
1022074, 2026-09-03T19:00:00Z, 8, 16.1
